date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement
4/20/2021,31431875,49337,567489,499,92914.033,1677.523,9918,40206,39733,0.15721163151304077,0.088008607,0.12791473623511165,0.031553955976218406,1.8054570400270427,67488,684.7142857142857,Medium,Medium
4/21/2021,31467156,35281,567952,463,93018.326,1678.892,9916,40046,39552,0.11224592869499514,0.081587485,0.12726285146328445,0.031512222,1.804904135600942,63894.57142857143,674.7142857142857,Medium,Medium
4/22/2021,31524474,57318,568698,746,93187.76,1681.097,9842,39201,39242,0.18215182840165153,0.131349128,0.12435100423880188,0.031220187845164362,1.8039888627483525,61767.71428571428,674,Medium,Medium
4/23/2021,31587523,63049,569465,767,93374.136,1683.364,9705,38562,38542,0.20000016495120587,0.1348694737804599,0.1220798477930669,0.030724156,1.8028162575457405,60681.28571428572,671.8571428571429,Medium,Medium
4/24/2021,31649002,61479,570249,784,93555.871,1685.682,9572,37357,37757,0.19463064577744826,0.13767307911811963,0.11803531751174966,0.03024424,1.801791411937729,59250,670.4285714285714,Medium,Medium
4/25/2021,31711421,62419,571084,835,93740.384,1688.15,9546,37133,37095,0.19722264860042032,0.14642726247656726,0.11709661323596947,0.030102719143364785,1.8008779865147009,58013.57142857143,674.4285714285714,Medium,Medium
4/26/2021,31763119,51698,571738,654,93893.206,1690.083,9759,37540,36496,0.1630264376988972,0.11451905499015907,0.11818738581686515,0.030724312684783883,1.800005849551488,54368.71428571428,678.2857142857143,Medium,Medium
4/27/2021,31803966,40847,572173,435,94013.951,1691.369,9665,37207,35991,0.12859883187164334,0.076083801,0.11698855419478187,0.030389291700286685,1.799061789966698,53155.857142857145,669.1428571428571,Medium,Medium
4/28/2021,31834165,30199,572640,467,94103.221,1692.75,9535,36881,35405,0.094953566,0.081618671,0.11585351775364612,0.029952097063013904,1.7988221145426622,52429.857142857145,669.7142857142857,Medium,Medium
4/29/2021,31884478,50313,573186,546,94251.948,1694.364,9371,35989,34958,0.15804717981451688,0.095347863,0.1128731039598641,0.029390476456914238,1.797696045078737,51429.142857142855,641.1428571428571,Medium,Medium
4/30/2021,31938874,54396,574018,832,94412.745,1696.823,9242,35364,34747,0.17060338889662865,0.14515358,0.11072400360764127,0.028936524,1.7972393140722493,50193,650.4285714285714,Medium,Medium
5/1/2021,31994517,55643,574771,753,94577.228,1699.049,9105,34005,34220,0.17421716244598978,0.13118055531359643,0.10628383607103681,0.028458001100626084,1.7964671884248167,49359.28571428572,646,Medium,Medium
5/2/2021,32049828,55311,575577,806,94740.73,1701.431,9075,33764,33735,0.17287649630716415,0.14022976107006094,0.1053484592803431,0.028315284562525574,1.7958817126881306,48343.857142857145,641.8571428571429,Medium,Medium
5/3/2021,32098180,48352,576193,616,94883.661,1703.252,9209,33964,33514,0.15086508420575612,0.10702303948906923,0.10581285294057172,0.028690100186365707,1.7950955474734083,47865.857142857145,636.4285714285714,Medium,Medium
5/4/2021,32134773,36593,576693,500,94991.832,1704.73,9180,33755,32998,0.11400334847645567,0.086776479,0.10504197431237496,0.028567184837434517,1.7946073557140112,47258.142857142855,645.7142857142857,Medium,Medium
5/5/2021,32167726,32953,577163,470,95089.242,1706.12,8951,33339,32496,0.10254623550631585,0.081499169,0.1036411464086706,0.027826026620594815,1.7942300304348526,47651.57142857143,646.1428571428571,Medium,Medium
5/6/2021,32210278,42552,577837,674,95215.028,1708.112,8833,32505,31872,0.13228165397827624,0.11677810254642103,0.10091499365513083,0.027422924,1.7939522285402194,46542.857142857145,664.4285714285714,Medium,Medium
5/7/2021,32254819,44541,578551,714,95346.693,1710.223,8646,31832,31194,0.13828194838926877,0.12356425774050468,0.098689129,0.026805296907727184,1.793688564800193,45135,647.5714285714286,Medium,Medium
